-10 63 0
-8 79 0
-4 99.1613 0
-2 101.591 3.82103
2 105.844 0.918293
4 103.31 4.48902
6 99.8308 5.1181
8 100.228 0
10 99.5267 3.62778
12 105.534 0
14 102.532 4.10525
16 103.732 3.29856
18 102.762 5.32775
20 102.708 4.36427
22 101.588 4.53296
24 100.947 5.25808
26 91.8808 4.7096
28 99.6242 5.94669
30 94.0828 10.0144
32 92.3597 8.16991
34 91.0609 13.6091
36 86.2929 8.35109
38 94.0262 15.9421
40 83.395 6.88902
42 92.784 16.5244
44 78.4392 10.8579
46 94.7196 14.2936
48 79.6737 7.0217
50 88.3361 11.6798
52 85.0502 1.48551
54 79.5288 10.648
56 71.2222 0
58 94.2646 0
60 73.7104 4.62939
62 74.315 6.62672
66 75.1485 18.2229
68 69.4615 0
70 79.5374 4.51924
74 86 0
78 79.359 0
82 77.9892 0
86 82.4754 0
88 67.25 0
92 67.5 0
96 68.5 0
100 71.8889 0
128 79 18.0171
