2
4
6
8
10
12
14
16 -98.05 3.4185
18 -90.7732 0.64263
20 -88.3016 0.606023
22 -80.6384 1.06769
24 -78.5095 2.35322
26 -76.746 1.95867
28 -75.1723 0.452293
30 -77.217 0.952709
32 -77.2681 1.40392
34 -76.0317 2.64868
36 -72.6937 2.86732
38 -70.7689 1.62645
40 -66.1829 2.2711
42 -60.8759 1.32648
44 -60.5252 1.07358
46 -67.7527 1.39167
48 -70.8046 1.49683
50 -71.587 1.21859
52 -76.2375 1.28364
54 -79.38 1.30615
56 -80.3944 1.14732
58 -82.7795 2.11699
60 -84.9048 1.20749
62 -86.9376 1.37083
64 -85.6301 0.824744
66 -83.6086 0.566773
68 -84.572 1.17979
70 -83.6468 1.77516
72 -97.6222 4.16843
74
76
78
80
82
