-6 13926.3 9322.18
-4 18187.5 571.696
-2 20588.3 1426.58
2 20382.8 462.562
4 13809.7 10206
6 16938 3184.51
8 20062.4 161.461
10 18885.1 1631
12 20307.7 0
14 18923.5 1591.5
16 19200 0
18 13780.4 4625.43
20 14897.3 398.01
22 10044.9 5076.09
24 17588.6 2993.61
26 15578.2 5073.87
28 18764.7 171.301
30 15318.5 4408.54
32 14237.5 5413.91
34 16539.3 3321.08
36 15179.2 7732.38
38 16818.9 2912.4
40 19237.7 1304.44
42 14898.6 3703.27
44 15953.9 3466.62
46 15751.2 2665.99
48 17855.9 2963.93
50 15032.9 2821.26
52 17240.1 3315.3
54 13531.7 1514.61
56 12796.5 1236.87
58 11320.9 3667.54
60 13709 3429.88
62 8044.78 3144.26
64 11532.1 3696.32
66 5873.43 989.281
68 10474.7 3455.19
70 5267.93 2866
72 9557.19 2667.46
74 4341.64 1464.61
76 7145.64 4382.61
78 7461.28 5591.76
80 4146.26 2779.75
82 2279.85 1357.35
84 4979.09 3735.64
86 1640.95 1173.67
88 1633.68 940.202
90 2579.95 1939.74
92 3330.95 3566.07
94 728.572 296.985
96 3085.71 0
98 1076.47 171.203
102 4628.57 0
104 1107.69 0
108 6635.29 0
118 1364.83 1178.8
120 3200 0
124 1440 0
