timestamp,rssi,lqi,throughput
0,-92.2868,96.4443,17335.0
15,-91.9459,98.0913,18404.3
30,-93.0193,93.7371,15897.4
45,-94.2086,87.0209,12302.3
60,-95.2188,80.121,9003.88
75,-95.4262,78.1891,10457.1
285,-95.4517,75.2059,8508.68
300,-94.1716,86.3654,9717.77
315,-93.7659,88.9109,12664.5
330,-92.9942,93.181,15570.5
345,-92.7484,94.3974,17212.7
