-50 -95 0
-48 -93.4444 0
-46 -94.8333 0
-44 -94.4697 0.273028
-42 -94.2041 0.0314043
-40 -94.0946 1.4088
-38 -94.4088 0.403583
-36 -94.7 0.970151
-34 -94.0646 0.162431
-32 -93.8139 0.125668
-30 -94.1145 0.572926
-28 -94.1321 0.460336
-26 -93.7845 0.383423
-24 -92.3113 2.46363
-22 -94.0781 0.564008
-20 -92.8941 0.531712
-18 -92.6509 0.549159
-16 -91.0909 0
-14 -91.6795 0.659586
-12 -91.5396 0
-10 -89.9976 0.765066
-8 -88.4379 1.06309
-6 -87.3039 1.18354
-4 -87.4323 1.02781
-2 -82.9922 1.28302
2 -70.2827 1.49147
4 -68.6573 0.614699
6 -71.1841 1.86782
8 -71.438 1.83566
10 -76.3846 4.42042
12 -78.4026 1.28623
14 -77.5291 0
16 -72.716 1.11427
18 -72.5905 0
20 -74.7916 1.40501
24 -77.1564 0.636959
28 -79.1656 1.77864
32 -82.8421 1.14052
36 -86.6101 0.802436
40 -91.2217 0.817574
44 -92.4198 0.682032
48 -89.9086 1.68045
50 -89.0097 0.81395
