0 -89.745 92.3405 18606.1
15 -90.078 89.3329 15468.9
30 -90.4542 86.9808 14450.3
45 -90.0097 88.8572 16503
60 -89.8054 90.7047 15019.2
75 -88.7571 94.2274 17308.8
90 -88.686 95.6807 17943.4
105 -87.6317 97.869 19253.7
120 -87.1515 98.3392 20326
135 -86.3898 101.865 20976
150 -85.1873 103.255 21160.2
165 -86.1098 100.441 19870.1
180 -88.1295 96.9285 19945.3
195 -87.5992 98.1428 20598.9
210 -87.2914 95.9668 15430.6
225 -90.0371 87.9878 8990.38
240 -90.8714 85.9437 14111.5
255 -90.6311 87.1565 13422.8
270 -91.6063 79.1307 10123.8
285 -91.5867 79.2405 7436.97
300 -91.7984 76.9095 7264.45
315 -91.8167 77.7716 5788.64
330 -91.3442 81.0688 9844.59
345 -90.364 88.4255 19870.9
