0 -70.2937 107.288 20871.9
15 -73.136 107.146 21047.7
30 -76.2565 107.059 21560.4
45 -77.1218 106.789 21154.8
60 -76.2105 107.023 21667.5
75 -73.5847 107.051 21600
90 -72.1029 107.084 21510
105 -68.747 107.359 20730.5
120 -69.3486 107.176 20823.5
135 -67.2165 107.399 21232.6
150 -66.8788 107.263 22926.3
165 -65.608 107.392 21746.9
180 -70.0909 107.339 21000
195 -75.0909 107.121 20769.2
210 -75.0965 106.974 22226.1
225 -74.1379 107.221 20968.4
240 -68.9848 107.447 22023.5
255 -72.5877 106.974 20480
270 -75.5902 106.664 21600
285 -75.0472 107.087 20880
300 -71.5714 107.161 20973.9
315 -76.9447 106.788 40680
330 -77.1851 106.631 21525
345 -73.3016 107.218 21840
