0 -91.9211 88.9943 10030.3
15 -91.0859 93.9705 17571.3
30 -89.6574 99.4207 18843.7
45 -90.0419 97.6129 19735
60 -90.232 96.5855 19253.6
75 -91.66 89.2673 11169
90 -93.5749 75.8426 5389.04
105 -92.8913 82.6228 6531.13
120 -92.9167 82.2915 8776.17
135 -90.4085 96.4916 17138.3
150 -89.9327 98.8313 18715.7
165 -88.7024 101.779 20255.5
180 -89.0048 101.09 20064.4
195 -88.8278 101.838 20514.4
210 -89.591 100.129 19810.3
225 -91.1733 93.5624 17935.6
240 -92.8338 82.9787 10652
255 -93.4323 78.146 6907.23
270 -93.3818 78.8909 7200
285 -93.4509 78.0173 7277.01
300 -94.0096 68.032 13444.8
315 -93.6816 76.1904 3255.16
330 -93.4694 77.8736 4963
345 -93.3469 79.5277 12088.7
