0 -89.5815 98.2104 18336.1
15 -90.3281 92.9577 14190.9
30 -93.0173 81.634 12412
45 -92.2836 87.0483 12995
60 -92.6161 85.7864 8006.29
75 -92.8367 83.346 12154.6
90 -91.8492 91.5551 19354.6
105 -90.6579 97.4568 20643.3
120 -88.5227 102.9 21221.5
135 -87.1597 102.476 19713.2
150 -86.3914 102.398 19280.2
165 -86.7304 101.656 19334.2
180 -89.0007 96.6479 16569.7
195 -91.6901 90.0197 11409.8
210 -91.9178 89.5402 11947
225 -92.3411 87.1875 11936.7
240 -92.5931 86.0747 12717.3
255 -93.5699 77.1379 14789.5
270 -93.5863 77.6669 8373.76
285 -93.5457 77.5137 9422.52
300 -92.9951 83.3256 13915.7
315 -91.4979 93.9174 20369.8
330 -90.926 94.8391 20286.3
345 -90.5366 96.0685 16374.3
