0 -76.1426 107.006 21360.1
15 -79.0822 106.124 21467.1
30 -80.1118 105.436 20399
45 -83.6221 102.9 20141.1
60 -83.0202 104.435 21540.3
75 -79.429 106.415 21573.9
90 -76.8348 106.935 20926.6
105 -73.3558 107.099 21521.3
120 -72.845 107.056 21056.3
135 -73.73 107.045 21572.1
150 -71.8513 107.091 21552.4
165 -73.5166 106.787 21068.8
180 -77.3128 105.714 20797.2
195 -77.0908 106.541 21094.6
210 -74.1462 107.108 21595.4
225 -73.093 107.137 21256.8
240 -74.6166 107.076 20462.3
255 -78.0189 106.405 21739.6
270 -81.6351 105.532 21004.3
285 -76.9839 106.855 21147.4
300 -75.9797 107 21391.4
315 -77.5134 106.803 20766.8
330 -77.7815 106.794 21245.5
345 -76.377 106.986 21632.9
